ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,TX,JASPER,"2,525","$19,712 ","$11,849 ", $- ,$530 , $- , $- ,$267 ,"$7,066 ",879
16,TX,JEFF DAVIS,172,"$1,429 ",$772 , $- ,$15 , $- , $- , $- ,$642 ,49
16,TX,JEFFERSON,"16,736","$110,254 ","$64,875 ", $- ,"$6,901 ", $- , $- ,$835 ,"$37,642 ","4,853"
16,TX,JIM HOGG,304,"$2,175 ","$1,595 ", $- ,$31 , $- , $- ,$3 ,$546 ,95
16,TX,JIM WELLS,"1,995","$19,821 ","$13,615 ", $- ,$850 , $- , $- ,$43 ,"$5,312 ",634
16,TX,JOHNSON,"11,119","$83,046 ","$50,504 ", $- ,"$7,644 ", $- , $- ,"$1,071 ","$23,827 ","2,768"
16,TX,JONES,"1,131","$9,641 ","$5,582 ", $- ,$203 , $- , $- ,$57 ,"$3,799 ",385
16,TX,KARNES,784,"$7,169 ","$4,375 ", $- ,$344 , $- , $- ,$214 ,"$2,236 ",213
16,TX,KAUFMAN,"7,786","$70,094 ","$38,806 ", $- ,"$5,547 ", $- , $- ,$360 ,"$25,381 ","2,191"
16,TX,KENDALL,"3,247","$43,215 ","$30,615 ", $- ,"$3,555 ", $- , $- ,$739 ,"$8,306 ",806
16,TX,KENEDY,12,$62 ,$49 , $- ,$6 , $- , $- , $- ,$6 ,*
16,TX,KENT,46,$366 ,$152 , $- , $- , $- , $- , $- ,$214 ,21
16,TX,KERR,"5,513","$72,514 ","$33,031 ","$1,058 ","$1,584 ", $- ,$103 ,$508 ,"$36,230 ","2,668"
16,TX,KIMBLE,434,"$2,635 ","$1,473 ", $- ,$51 , $- , $- ,$58 ,"$1,053 ",127
16,TX,KING,2,$35 ,$28 , $- , $- , $- , $- , $- ,$7 ,*
16,TX,KINNEY,332,"$3,738 ","$2,416 ", $- ,$203 , $- , $- ,$13 ,"$1,106 ",139
16,TX,KLEBERG,"2,039","$17,823 ","$11,644 ", $- ,"$1,875 ", $- , $- ,$78 ,"$4,227 ",463
16,TX,KNOX,205,$962 ,$561 , $- ,$15 , $- , $- ,$0 ,$386 ,66
16,TX,LAMAR,"3,756","$32,930 ","$18,258 ", $- ,"$1,218 ", $- , $- ,$158 ,"$13,296 ","1,443"
16,TX,LAMB,611,"$4,936 ","$2,922 ", $- ,$177 , $- , $- ,$40 ,"$1,798 ",240
16,TX,LAMPASAS,"3,191","$52,703 ","$38,443 ", $- ,"$3,682 ", $- , $- ,$262 ,"$10,316 ","1,388"
16,TX,LA SALLE,139,"$1,430 ",$906 , $- ,$172 , $- , $- ,$0 ,$351 ,65
16,TX,LAVACA,"1,262","$10,161 ","$6,838 ", $- ,$286 , $- , $- ,$44 ,"$2,993 ",323
16,TX,LEE,"1,203","$9,095 ","$4,864 ", $- ,$324 , $- , $- ,$21 ,"$3,886 ",333
16,TX,LEON,"1,533","$13,435 ","$8,740 ", $- ,$259 , $- , $- ,$62 ,"$4,375 ",454
16,TX,LIBERTY,"5,116","$45,367 ","$24,951 ", $- ,"$2,412 ", $- , $- ,$281 ,"$17,724 ","1,452"
16,TX,LIMESTONE,"1,521","$16,441 ","$7,346 ", $- ,$490 , $- , $- ,$70 ,"$8,534 ",674
16,TX,LIPSCOMB,164,$973 ,$355 , $- ,$19 , $- , $- ,$11 ,$589 ,76
16,TX,LIVE OAK,"1,078","$4,541 ","$2,385 ", $- ,$130 , $- , $- ,$23 ,"$2,003 ",236
16,TX,LLANO,"2,554","$18,404 ","$11,032 ", $- ,$455 , $- , $- ,$134 ,"$6,783 ",663
16,TX,LOVING,4,$18 ,$15 , $- , $- , $- , $- , $- ,$3 ,*
16,TX,LUBBOCK,"15,696","$135,385 ","$77,208 ", $- ,"$15,343 ", $- , $- ,"$1,303 ","$41,532 ","5,658"
16,TX,LYNN,248,"$1,602 ","$1,041 ", $- ,$109 , $- , $- ,$1 ,$451 ,86
16,TX,MCCULLOCH,606,"$4,829 ","$2,646 ", $- ,$136 , $- , $- ,$4 ,"$2,043 ",198
16,TX,MCLENNAN,"15,959","$310,349 ","$128,304 ",$3 ,"$15,042 ", $- ,"$79,190 ","$1,619 ","$86,191 ","6,774"
16,TX,MCMULLEN,42,$286 ,$96 , $- ,$33 , $- , $- ,$26 ,$131 ,12
16,TX,MADISON,832,"$6,428 ","$2,864 ", $- ,$220 , $- , $- ,$271 ,"$3,073 ",262
16,TX,MARION,"1,090","$9,593 ","$4,837 ", $- ,$168 , $- , $- ,$111 ,"$4,477 ",420
16,TX,MARTIN,199,"$1,487 ","$1,066 ", $- ,$74 , $- , $- ,$0 ,$347 ,27
16,TX,MASON,306,"$3,100 ","$1,595 ", $- ,$50 , $- , $- ,$18 ,"$1,436 ",106
16,TX,MATAGORDA,"2,340","$18,715 ","$9,760 ", $- ,$588 , $- , $- ,$157 ,"$8,211 ",686
16,TX,MAVERICK,"1,254","$9,879 ","$7,016 ", $- ,$566 , $- , $- ,$23 ,"$2,275 ",336
16,TX,MEDINA,"4,277","$41,013 ","$27,057 ", $- ,"$2,468 ", $- , $- ,$209 ,"$11,279 ","1,289"
16,TX,MENARD,166,"$1,382 ",$764 , $- ,$19 , $- , $- ,$17 ,$583 ,62
16,TX,MIDLAND,"7,673","$49,793 ","$25,892 ", $- ,"$4,263 ", $- , $- ,$696 ,"$18,942 ","2,108"
16,TX,MILAM,"1,816","$17,068 ","$9,477 ", $- ,$496 , $- , $- ,$164 ,"$6,931 ",615
16,TX,MILLS,372,"$5,169 ","$1,912 ", $- ,$18 , $- , $- ,$14 ,"$3,225 ",156
16,TX,MITCHELL,402,"$3,625 ","$1,895 ", $- ,$139 , $- , $- ,$23 ,"$1,568 ",157
16,TX,MONTAGUE,"1,668","$11,581 ","$8,203 ", $- ,$547 , $- , $- ,$45 ,"$2,787 ",438
16,TX,MONTGOMERY,"34,272","$216,899 ","$127,418 ", $- ,"$19,673 ", $- , $- ,"$2,278 ","$67,530 ","8,197"
16,TX,MOORE,780,"$5,292 ","$2,036 ", $- ,$194 , $- , $- ,$30 ,"$3,032 ",327
